bk	ck	命中词
6AF5D0B05C5DAAD762422929C19D1DBB	F6741038E5990E062EDF569F0DC116A1	天安门广场
854B821CEBEBCFBF5F7E35A8ED9F9F04	AA9AB6FCCABA22300278DD19377E5AD7	反革命分子
854B821CEBEBCFBF5F7E35A8ED9F9F04	D1F7221FEBC2241D9FEDCF4CF093F265	反革命分子
854B821CEBEBCFBF5F7E35A8ED9F9F04	F96503EAAEC98C6B03BFBAEBF7301945	反革命分子
3A3DDA9344D2219BB15A1F8336B8EC93	0E487B84CEA5D713DADF4EA3AA777D76	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	1432EF95B8163DA7C2C7B649B73F9963	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	18D5BC1055514B8AA1D8B97F56B409A1	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	1B19C04F75669F5F5C4499B7C310AB6A	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	257A95D8AD12ED1B39AF3C2BFFAFDFEF	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	2BC9CE9E3FC4C3863263C496796021BA	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	333C893419D6A3F90689538B7D2B48FA	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	3779BC4B8C71CC7BA507875539392DF5	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	3B81919E7FCC0F46EEF9C27903AF9CBD	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	41779D6E4174794C03FBFD521441FC49	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	41A5E8169B7A05FDE6F2D23B8F91D448	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	42B5127FE046B8CC9572E6F803E38463	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	499184C22BDC752BAE21B2FBD4541D12	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	4C8E114108180DFEDA04CB95C4775D94	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	5240727C362474444ABD6A442564E569	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	52CAF206BCE1CBE36DC83EA82EE51381	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	5CC26B838EC64649DDCAAEDB8CB9F6C6	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	5E8430E62C2194D930C90348BF266F3D	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	613728309EE74B508B484683344989E4	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	6756F9BE446EE41F754EA829E6A03D80	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	7399E78675C98B6CCD889E99789A5164	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	74B62C52EDBF3A3EB36508B16741FE81	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	796068961585CD6E111F08CA58B48BA7	学生朝
3A3DDA9344D2219BB15A1F8336B8EC93	82C4D3A4986A22EFFCB9FA81C54D6DD7	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	8773DC59A4688CE159485F1933728A5E	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	8922F5F65803B5757B0CFC20E7D65B1E	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	893B400FA377E7F1473FC5B0B4F000DA	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	8F42225E37F143C557B1B636903F96FA	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	930797D84D8050DCA08568120691D075	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	9D63F616A42EA2384AD36D6CB10B5A04	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	A01CBE74CAACA6041A338091D9DB2C82	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	AAF0BA7B4B439E698F267A00D0665227	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	ABBA75F33C782177FD6BF7E5CDFDF94B	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	BAF93C48F5C61FEB5F7DC4B1D9322CD2	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	BE4B179E6C1BCCB5803AD0479CE7F161	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	D0C723722AD7A94837FB8EB97C49CB90	马英九
3A3DDA9344D2219BB15A1F8336B8EC93	D97391EBCCCF1961ECC3A9E8228D9B28	天安门广场
3A3DDA9344D2219BB15A1F8336B8EC93	FC8F498375FEF2F4620807D683A2F223	天安门广场
B126FAC051FFAE1F810F13A3897F98B6	158500C31BFF7483DC71142F2576476D	坦克压死
B126FAC051FFAE1F810F13A3897F98B6	2784A6133D7E6EA55EFFCC5EC22F6C4E	当装甲车
5B7B620F7D8DEE90FC375D64F4E2F39D	6E6C7A4C42DD046A2DAFE0AB8FD0854D	学生造反
F8191A8ACF9A31066D76422ADE5F1F4F	2CAD8E43FA82A3ECB6EAF167CD31A564	反革命分子
F27EAD54624CC4BBABBA79A701447CF7	0FB6E2342CE67D8DA0ECEA4B67219DD7	马英九
F27EAD54624CC4BBABBA79A701447CF7	38AA62315EED75941BB548EDC6DE2CD0	反共
F27EAD54624CC4BBABBA79A701447CF7	49F356E782CFD179BFF94BFFDFA37091	4学潮
F27EAD54624CC4BBABBA79A701447CF7	5813839ED017B105A4B70DE7BBAFCFCA	6月4
F27EAD54624CC4BBABBA79A701447CF7	70E702DA35AB7B55A2E1B5DCE942C546	反共
F27EAD54624CC4BBABBA79A701447CF7	815FB10E14559F5D35DBA91AB04F5EA4	6月4
F27EAD54624CC4BBABBA79A701447CF7	9C829C2B628EE8C0A3AF05179CD5D743	6事件
F27EAD54624CC4BBABBA79A701447CF7	D30FA01C3C586137B3764F9800468580	李鹏
F27EAD54624CC4BBABBA79A701447CF7	FD046748FC9CAB8269CB4A726FF7AF4E	6月4
86249411B124BEF6CD96A6A0B676FD0F	37A84DA37E7B243F3E48BDA95C3373D0	64坦克
86249411B124BEF6CD96A6A0B676FD0F	52DB07EADB2EB0DB4EEE8703AACF0B23	反共
86249411B124BEF6CD96A6A0B676FD0F	C5A4B8AD28BA1FCA9AC2F07C3C063D88	反党反革命
4C2E1137E8199FB87DC99DEF1D88D86A	924D5E60B16EA918061572487A945331	反共
067C28074D0F436527B4C721F19E3E9E	AA1D323D9B731B7CBDD20D602A1A2DAD	反共
A01507DF8734A4FE8F40414F2A0AFE72	45C3107AFA559E53626CC4D39AE05640	64武装
A01507DF8734A4FE8F40414F2A0AFE72	93B600E6C79EEAD4EA7E2A2A7D2AE69F	64武装
A01507DF8734A4FE8F40414F2A0AFE72	AC6B03551D63DAF605C9FA0C6098DCD0	64武装
230C58D7423EBC7B470F6210B0AD4EBE	0F9C2B1B3F1121C46AED785882A6C0EE	反革命分子
230C58D7423EBC7B470F6210B0AD4EBE	161A807B9B5BB44679CD1DA2478637F0	反共
230C58D7423EBC7B470F6210B0AD4EBE	31C73479F676D575ABE87151B710A988	反共
230C58D7423EBC7B470F6210B0AD4EBE	7BF211B876A0AF3923F410B7F0570CAE	李鹏###反共
230C58D7423EBC7B470F6210B0AD4EBE	E0C55E429924ADF601A244C6CC8E5B09	反革命分子
230C58D7423EBC7B470F6210B0AD4EBE	EFEA4AAB0FF6459C46C8A3E537858D82	反共
230C58D7423EBC7B470F6210B0AD4EBE	F7A459B1AC5909E4838262E21538A70C	反共
795080B7445B7754936EFC7A2E0B382D	2448834A707678076E88664AC3F0D3E1	反共
64FDED238D29A34394134E132298F43A	CBE9B858A4967121E1DFBB59F5420963	反革命分子
401A7A33DFE237E7CCD8BD46A06CA0BD	80822FCC6B0A9112A41CFBE68B2010E8	学生造反
99C995BC34302642ECDCCA6E8012ED43	52F90DBEAE2D8BB7CD6BCA265B8D0D9D	反共
7524C387744C672A75C3D2448B1842CF	3ECF2E5FDD4B988E6C89EC6AEF8EA10E	李淑娴
7524C387744C672A75C3D2448B1842CF	C1A44D1C6C53716A7AC447635FA4A71B	李淑娴
7524C387744C672A75C3D2448B1842CF	F070F0FBD622ED5F5E3931E208F0B780	李淑娴
7524C387744C672A75C3D2448B1842CF	FE87A16CA168E0E24D27607A253E0B24	李淑娴
FBA794DE75F727E9FB7071E1320AF9E6	0F4627E2BF90CB3D6A45D2800540B2CA	反共
9B4EC83CCAAF8FD61B7D71EFCCBF978D	46D6C4503E651566A07A248CE9D29AB7	反共
73A0D0147310E81A348AC211E2C70CCA	100BB6FC3FEC05602D2EBC1568DE40D8	反共
73A0D0147310E81A348AC211E2C70CCA	453A962E5026D165D7793CD4A243D216	6月4
73A0D0147310E81A348AC211E2C70CCA	8EB70759073385544FC9D84341A7D781	6月4
73A0D0147310E81A348AC211E2C70CCA	EEB3CD02A85D72B657E1E25C161D57E3	6月4
F687C11AC54E54048F690922C69B9738	1EB28D3B16FFE31B416150FE8E904325	反共
DE74C8D0A37924A933A99711BD71C392	7153F1751D0F111B13C1801C363A0F2F	反共
